premise,hypothesis,label
더 이상 살고 싶지 않아. 오늘 밤 끝낼 거야.,이 사람은 스스로를 해치려 한다,0
약을 잔뜩 모아뒀어. 다 먹으면 어떻게 될지 알아.,이 사람은 스스로를 해치려 한다,0
이번 주말에 옥상에 올라갈 생각이야.,이 사람은 스스로를 해치려 한다,0
죽는 방법을 계속 찾아보고 있어.,이 사람은 스스로를 해치려 한다,0
내일이 내 마지막 날이 될 것 같아.,이 사람은 스스로를 해치려 한다,0
유서를 써뒀어. 아무도 모를 거야.,이 사람은 스스로를 해치려 한다,0
칼이 가까이 있는데 쓰고 싶다는 생각이 자꾸 들어.,이 사람은 스스로를 해치려 한다,0
이제 다 정리했어. 나 없이도 잘 살 수 있을 거야.,이 사람은 스스로를 해치려 한다,0
한강 다리 위에서 오래 서 있었어. 그냥 뛰어내릴까 생각했어.,이 사람은 스스로를 해치려 한다,0
목을 매는 게 제일 고통 없이 끝나는 방법인 것 같아.,이 사람은 스스로를 해치려 한다,0
모든 걸 끝내고 싶어. 진짜로.,이 사람은 스스로를 해치려 한다,0
오늘 자해했어. 피가 나는 걸 보니 살아있는 것 같았어.,이 사람은 스스로를 해치려 한다,0
수면제를 한 달치 모았어. 언제 쓸지는 아직 모르겠지만.,이 사람은 스스로를 해치려 한다,0
이 세상에서 사라지고 싶어. 방법도 이미 생각해 뒀어.,이 사람은 스스로를 해치려 한다,0
더는 버틸 이유가 없어. 오늘 밤 결정하려고.,이 사람은 스스로를 해치려 한다,0
손목에 흉터가 생겼어. 또 그랬어.,이 사람은 스스로를 해치려 한다,0
높은 곳에 올라가면 뛰어내리고 싶다는 충동이 들어.,이 사람은 스스로를 해치려 한다,0
농약을 마시면 어떻게 될지 생각해봤어.,이 사람은 스스로를 해치려 한다,0
죽고 싶어. 오늘 그 생각이 멈추질 않아.,이 사람은 스스로를 해치려 한다,0
자살 충동이 너무 강해서 무서워. 참기 힘들어.,이 사람은 스스로를 해치려 한다,0
칼로 긋는 게 이제 습관이 됐어.,이 사람은 스스로를 해치려 한다,0
오늘 밤 마지막이야. 더 이상 못 버텨.,이 사람은 스스로를 해치려 한다,0
내 목숨을 끊는 것만 생각해. 다른 방법이 없어.,이 사람은 스스로를 해치려 한다,0
건물 옥상에서 내려다봤는데 뛰어내리고 싶었어.,이 사람은 스스로를 해치려 한다,0
독약을 어디서 구할 수 있는지 찾아봤어.,이 사람은 스스로를 해치려 한다,0
오늘 자해 도구를 샀어. 사용할 것 같아.,이 사람은 스스로를 해치려 한다,0
더 살면 안 될 것 같아. 내가 없어져야 해.,이 사람은 스스로를 해치려 한다,0
이번이 진짜 마지막 시도야.,이 사람은 스스로를 해치려 한다,0
목숨을 버리기로 결심했어.,이 사람은 스스로를 해치려 한다,0
스스로를 해칠 계획을 세웠어. 오늘 실행할 거야.,이 사람은 스스로를 해치려 한다,0
면도날로 긋는 걸 멈출 수가 없어.,이 사람은 스스로를 해치려 한다,0
다리 위에서 한참을 서 있었어. 뛰어내릴 뻔했어.,이 사람은 스스로를 해치려 한다,0
지금 당장 죽고 싶어. 이 충동을 참을 수가 없어.,이 사람은 스스로를 해치려 한다,0
수면제 전부 삼켰어. 지금 몸이 이상해.,이 사람은 스스로를 해치려 한다,0
오늘 진짜로 끝내려고 준비했어.,이 사람은 스스로를 해치려 한다,0
목숨을 끊는 게 유일한 탈출구야.,이 사람은 스스로를 해치려 한다,0
이제 짐 다 쌌어. 마지막 인사를 해야 할 것 같아.,이 사람은 스스로를 해치려 한다,0
모든 사람이 나 없이도 더 잘 될 것 같아.,이 사람은 스스로를 해치려 한다,0
내 보험금이 얼마인지 확인해봤어.,이 사람은 스스로를 해치려 한다,0
이 고통이 오늘로 끝났으면 좋겠어. 진짜로.,이 사람은 스스로를 해치려 한다,0
다시는 아침을 보고 싶지 않아.,이 사람은 스스로를 해치려 한다,0
